FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.883,005H0232,175920.0,585880.0,0.685,TRAFO W-Z HAMERENWG 7,O,-201.0,20.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (175920 585880)
nappeilmerken.884,005H0233,171820.0,581600.0,1.513,BDR NW-Z SLAPPETERPSTERDK 16,NO,133.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171820 581600)
nappeilmerken.885,005H0234,174630.0,583560.0,1.915,HS BDR ZW-Z WG BERLICUM/BEETGUM 15,N,-197.0,15.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174630 583560)
nappeilmerken.886,005H0235,175390.0,583420.0,1.614,HS NO-Z OUDDK 6,ZW,55.0,12.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (175390 583420)
nappeilmerken.887,005H0236,177120.0,583100.0,1.605,NO-LHFD BET-BR O/D ZIJLSLOOT,NW,47.0,-27.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177120 583100)
nappeilmerken.888,005H0237,175400.0,579980.0,2.643,"NO-LHFD BR IN RW A31 BIJ HMP 33.6,HMP 33.6, RW A31",NW,70.0,-10.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (175400 579980)
nappeilmerken.889,005H0238,174520.0,579780.0,0.625,FIETSTUNNEL IN RW A31 BIJ HMP 32.7,W,36.0,-50.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174520 579780)
nappeilmerken.890,005H0239,174079.0,579680.0,0.949,HS N-Z OUDE RIJKSSTRAATWG 8,Z,16.0,-95.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174079 579680)
nappeilmerken.891,005H0241,174720.0,575840.0,2.382,"NO-LHFD BR OVER BOLSWARDERVRT TUSSEN,HYLAARD EN GROOT REWERT",N,740.0,-30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174720 575840)
nappeilmerken.892,005H0244,177180.0,580080.0,1.25,PIJLER VDC I/D WG HARSSUM/BOKSUM,W,-50.0,30.0,PM,Sun Jan 02 00:00:00 CET 2011,2.0,POINT (177180 580080)
nappeilmerken.893,005H0246,172380.0,581260.0,1.57,SCH BDR SLAPPETERPSTERDK 12,NW,-1320.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172380 581260)
nappeilmerken.894,005H0247,170930.0,580880.0,0.634,"BET VOET VAN STROOMKAST OP T-SPLITSING,MENAMERDK",NW,15.0,-10.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (170930 580880)
nappeilmerken.895,005H0248,173240.0,584020.0,1.649,GARAGE BEETGUMERWG 26,NW,610.0,23.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173240 584020)
nappeilmerken.896,005H0249,173799.0,583840.0,2.587,HS BDR BEETGUMERWG 71,ZO,340.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173799 583840)
nappeilmerken.897,005H0251,173810.0,581690.0,0.906,HS INGELUMERDK 14,ZW,21.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173810 581690)
nappeilmerken.898,005H0252,171850.0,576740.0,0.584,NO-VOET HSM NR. 41 Z-Z REWERTERDK,NO,28.0,45.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171850 576740)
nappeilmerken.899,005H0254,179270.0,586500.0,1.484,WATERSCHAPGEB SEEROB 5 Z-Z MR,Z,21.0,37.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179270 586500)
